epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.824,1.0253,2.40766,1.26296,0.98241,0.11733,0.21495,0.17318,0.99657,2.61709,1.25914,0.00035725,0.00035725,0.00035725
2,296.485,0.85013,1.19862,1.15739,0.94749,0.2377,0.47298,0.32726,0.94145,1.24092,1.29375,0.00071436,0.00071436,0.00071436
3,424.26,0.74611,0.97013,1.06437,0.76119,0.48954,0.51292,0.30978,0.95573,1.38159,1.23704,0.00105676,0.00105676,0.00105676
4,549.27,0.7616,0.90241,1.07692,0.86617,0.34752,0.44495,0.30105,0.93088,1.12787,1.19835,0.00134412,0.00134412,0.00134412
5,676.364,0.76307,0.90295,1.07656,0.76579,0.38925,0.45,0.34842,0.94586,1.13021,1.24061,0.00131582,0.00131582,0.00131582
6,806.41,0.71869,0.81055,1.05527,0.51991,0.46727,0.48606,0.32995,0.8705,0.97256,1.21253,0.00128753,0.00128753,0.00128753
7,930.311,0.70469,0.81114,1.05222,0.5971,0.51107,0.5799,0.39225,0.84604,1.16609,1.18742,0.00125923,0.00125923,0.00125923
8,1058.27,0.66305,0.73787,1.02546,0.57262,0.67063,0.55813,0.39383,0.81673,0.96963,1.23997,0.00123094,0.00123094,0.00123094
9,1189.61,0.66485,0.74386,1.01784,0.37943,0.66261,0.46971,0.34322,0.87298,0.93596,1.18354,0.00120265,0.00120265,0.00120265
10,1322.85,0.68921,0.74284,1.04695,0.62831,0.75578,0.63682,0.47799,0.85771,0.88076,1.15821,0.00117435,0.00117435,0.00117435
11,1458.84,0.6335,0.66063,1.00216,0.6664,0.71136,0.6347,0.43405,0.76787,0.8653,1.12482,0.00114606,0.00114606,0.00114606
12,1596.61,0.64949,0.66142,1.00746,0.57864,0.76503,0.64978,0.50344,0.76428,0.82679,1.12047,0.00111776,0.00111776,0.00111776
13,1730.28,0.62903,0.64908,0.99311,0.77322,0.73822,0.67913,0.51642,0.76593,0.79388,1.13615,0.00108947,0.00108947,0.00108947
14,1866.48,0.60832,0.63148,0.99209,0.83171,0.78165,0.75219,0.58357,0.75402,0.81549,1.12651,0.00106118,0.00106118,0.00106118
15,1996.34,0.60945,0.61961,0.98345,0.79114,0.7266,0.73893,0.58092,0.76818,0.78322,1.11521,0.00103288,0.00103288,0.00103288
16,2126.24,0.60693,0.60911,0.98126,0.73184,0.69282,0.75927,0.55993,0.72949,0.79177,1.12035,0.00100459,0.00100459,0.00100459
17,2256.54,0.5818,0.58931,0.97322,0.66304,0.66457,0.63517,0.47127,0.76345,0.8598,1.12067,0.000976293,0.000976293,0.000976293
18,2387.53,0.61215,0.6185,0.99772,0.75113,0.77937,0.73517,0.57837,0.75126,0.77832,1.12181,0.000947999,0.000947999,0.000947999
19,2519.4,0.5924,0.58099,0.97478,0.70648,0.77969,0.74689,0.56805,0.75023,0.76491,1.07682,0.000919704,0.000919704,0.000919704
20,2652.77,0.61516,0.59668,0.98952,0.8255,0.78329,0.78818,0.60104,0.74062,0.71727,1.09133,0.00089141,0.00089141,0.00089141
21,2782,0.56976,0.53802,0.96303,0.83824,0.76338,0.77994,0.60975,0.70896,0.68436,1.0766,0.000863116,0.000863116,0.000863116
22,2910.77,0.54441,0.52318,0.95027,0.81053,0.78165,0.79918,0.62661,0.71003,0.68182,1.07193,0.000834822,0.000834822,0.000834822
23,3041.29,0.54915,0.53062,0.95862,0.91168,0.75573,0.82488,0.61905,0.71855,0.6639,1.07178,0.000806528,0.000806528,0.000806528
24,3173.63,0.55001,0.51361,0.957,0.80197,0.78467,0.80742,0.63056,0.71604,0.65789,1.0889,0.000778233,0.000778233,0.000778233
25,3303.94,0.53454,0.5012,0.9467,0.91012,0.78394,0.82505,0.65587,0.71363,0.6859,1.11397,0.000749939,0.000749939,0.000749939
26,3435.72,0.56554,0.53873,0.97536,0.85912,0.64052,0.77252,0.63676,0.7875,0.92364,1.10054,0.000721645,0.000721645,0.000721645
27,3566.33,0.56679,0.54604,0.97263,0.97974,0.77575,0.85052,0.66237,0.70219,0.67388,1.10586,0.000693351,0.000693351,0.000693351
28,3696.03,0.5439,0.50131,0.96174,0.92165,0.77394,0.85056,0.67975,0.7003,0.69756,1.07082,0.000665057,0.000665057,0.000665057
29,3833.41,0.53324,0.49225,0.94758,0.88628,0.78151,0.81722,0.65093,0.68416,0.66413,1.06976,0.000636762,0.000636762,0.000636762
30,3964.2,0.53631,0.50336,0.95164,0.979,0.82016,0.85555,0.70085,0.7023,0.6289,1.07349,0.000608468,0.000608468,0.000608468
